Released in version:,Subfeature ID,Journey,Add-on,Feature,Sub Feature,Mobile,Web,Essential,Premium,Signature
2022.08-LTS or earlier,CC.5.1.1,Account Statements,,List Account Statements ,"List account statements and display the statement generated date, category and description",Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.5.2.1,Account Statements,,Filter Account Statements ,Filter by date and statement category,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.5.3.1,Account Statements,,Download & Share Account Statements,Download in PDF format ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.5.3.2,Account Statements,,Download & Share Account Statements,Download statements from multiple accounts,NA,Available ,true,true,true
2023.02-LTS,CC.5.3.3,Account Statements,,Download & Share Account Statements,Preview account statements ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.5.4.1,Account Statements,,Manage Account Statement Preferences,View account statement preferences,Not Available,Available ,true,true,true
2023.02-LTS,CC.5.4.2,Account Statements,,Manage Account Statement Preferences,Manage account statement preferences,Not Available,Available ,true,true,true
2023.02-LTS,CC.7.1.1,Contacts,,Contact List & Details ,View the list of contacts and details ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.1.2,Contacts,,Contact List & Details ,Search for a contact,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.2.1,Contacts,,Manage Contacts ,Create a contact with one or multiple accounts,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.2.3,Contacts,,Manage Contacts ,Upload CSV file to create contacts,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.7.2.4,Contacts,,Manage Contacts ,Edit an existing contact ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.2.5,Contacts,,Manage Contacts ,Delete an existing contact ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.3.1,Contacts,,Approve contacts,"Approve or reject contact create, edit or delete requests",Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.3.2,Contacts,,Approve contacts,View contact requests initiated by you,Available,Available ,true,true,true
2022.08-LTS or earlier,CC.7.3.3,Contacts,,Approve contacts,View pending approvals list for contacts,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.7.4.1,Contacts,,Migrate contacts,Integration APIs for contacts migration,NA,Available ,true,true,true
2022.08-LTS or earlier,CC.8.1.2,Card Management ,,Cards overview,View a list or overview of all cards,Not Available,Available ,true,true,true
2024.12,CC.8.1.1,Card Management ,,Card details ,View details of a specific card,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.2.1,Card Management ,,Lock or unlock cards,Block/unblock a debit or credit card temporarily ,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.3.1,Card Management ,,Change PIN,Change PIN code for debit/credit cards,Available ,Available ,true,true,true
2024.04,CC.8.4.1,Card Management ,,Request PIN,Request PIN for debit/credit cards,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.5.1,Card Management ,,Replace card,"Order a replacement card by specifying the reason (e.g. damaged, stolen, lost)",Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.11.1,Card Management ,,Cancel card,Cancel card without replacing it,Available ,Available ,true,true,true
2024.12,CC.8.6.1,Card Management ,,Activate new card,Activate the physical card delivered via the app,Available ,Available ,true,true,true
2022.08-LTS or earlier,CC.8.6.2,Card Management ,,Activate new card,Track card delivery,Not Available,Available ,true,true,true
